iteration,r2_score,mae_score,SB Level_importance,Combat Level_importance,Farming Level_importance,Fishing Level_importance,Mining Level_importance,Foraging Level_importance,Enchanting Level_importance,Alchemy Level_importance
1,0.8405227109267677,1.7102395833333333,0.6501898952592026,9.069779487836453e-05,0.006117630548967342,0.13674696143417128,0.0013358763402551118,0.2055189386225253,0.0,0.0
2,-0.7661869164694615,5.067033636363636,0.5978511659949783,0.04102977451033873,0.0004350603545637735,0.14655382583317364,0.0010333347803571553,0.2058444805153165,0.005971572317591081,0.0012807856936807402
3,0.003423472476066891,8.355618428571429,0.6867886209654528,1.991485464066545e-05,0.04882571380245832,0.14975035532556785,0.0017874784713718544,0.11277006831334166,5.784826716693168e-05,0.0
4,-0.11267779127488908,7.395589934065933,0.6695118101432963,0.0,0.004836869659170686,0.09418845266037008,0.00011803540911561316,0.23121383305121065,0.0001309990768366841,0.0
5,-6.727942790806425,8.008404243589741,0.7848416497512146,0.0,0.0,0.0,0.010154765682605212,0.20437927217509308,0.0005269255121285183,9.738687895852117e-05
6,0.880157130524597,1.7902784615384615,0.6021687280888773,0.04175579694420357,0.0,0.1467531526487534,0.0022136047677604577,0.2049626421947976,0.0021460753556076452,0.0
7,0.9067607559326657,1.6619059607843134,0.610337536556642,0.04179717292108787,0.0,0.1342855185652041,0.0010927575448553873,0.21139574148869042,0.0010912729235201118,0.0
8,-2.3973942480436667,4.09854688172043,0.7413682156734164,0.0,0.041116492614094335,0.15156138932030994,0.002779887512779616,0.06292761765867229,0.000246397220727316,0.0
9,-14.385241461050361,11.335500762923349,0.5983374012978943,0.0,0.00625732710870207,0.13886016626034167,0.043593617911834665,0.20679766698597055,5.310034506553219e-05,0.0061007200901912785
10,-0.14000928670992274,7.364348471986418,0.6680201507096334,0.0,0.003994682148235648,0.09656100267892703,0.00046653921060767504,0.22435655419793626,0.006601071054659977,0.0
11,0.47957654649559533,3.2046087878787874,0.6103616977143347,0.04225340277016375,0.0,0.1387960331934223,0.007081824585024553,0.20150704173705475,0.0,0.0
12,-0.4996455842114542,3.5369870186335404,0.6425425515638661,0.00730776829079389,0.00010207544077790577,0.14393836458904316,0.0020390735356782983,0.2020969662921267,0.0019732002877139374,0.0
13,-0.017655069726203898,8.401499583333335,0.6823174194234224,0.050992122365068095,0.02223111850812112,0.13576194138843106,0.0011151152724343826,0.10758228304252272,0.0,0.0
14,0.09234879566612575,19.086011545698927,0.9648909511654125,0.0,0.01741292200568913,4.885825526435826e-07,0.0028991946088437063,0.012828879630651647,0.0003908839220232669,0.001576680084827107
15,-3.787362419144916,3.9958064884135474,0.7419059272473187,0.00011321662644433989,0.048017080997067314,0.13829286086688236,0.0013289848664353758,0.06425585827308025,0.005984359838659676,0.00010171128411179959
16,-0.5596084687633105,11.967910624999998,0.6909706284182324,0.00011173717958782506,6.245931651423189e-05,0.19121839541134117,0.002857163169841111,0.1147796165044833,0.0,0.0
17,-1.4020975079718747,4.224188174603175,0.6268101977160374,0.013120335300395403,0.000870650315433005,0.14921790153777154,0.0024739927289107624,0.20153171543602433,0.0,0.005975206965427543
