feature,importance
SB Level,0.60660672164494
Foraging Level,0.2015723989633171
Fishing Level,0.11192554091101385
Combat Level,0.06509558326440039
Alchemy Level,0.007878508278252186
Farming Level,0.004342402919770709
Mining Level,0.0025788440183057205
Enchanting Level,0.0
