feature,importance
SB Level,0.6485052672720144
Combat Level,0.23122325257673285
Fishing Level,0.11588490253028834
Mining Level,0.004155622948553735
Enchanting Level,0.00012651659428411283
Foraging Level,0.00010443807812663193
Farming Level,0.0
Alchemy Level,0.0
